Packet_Size,Protocol,Src_Port,Dst_Port,TCP_Flags,Inter_Arrival_Time
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
88,17,50640,443,0,0.0
88,17,50640,443,0,0.0
88,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
89,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
90,17,50640,443,0,0.0
90,17,50640,443,0,0.0
90,17,50640,443,0,0.015624523162841797
90,17,50640,443,0,0.0
352,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
92,17,50640,443,0,0.0
90,17,50640,443,0,0.0
1494,17,443,50640,0,0.05379652976989746
1494,17,443,50640,0,0.0
90,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
92,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
92,17,50640,443,0,0.0
92,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
92,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
92,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.015616416931152344
92,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
97,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
92,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
92,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
92,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
92,17,50640,443,0,0.0
92,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
92,17,50640,443,0,0.0
1494,17,443,50640,0,0.015683650970458984
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
92,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.015535593032836914
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
92,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
92,17,50640,443,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0
92,17,50640,443,0,0.015926599502563477
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.0010449886322021484
1494,17,443,50640,0,0.0029740333557128906
1494,17,443,50640,0,0.0
1494,17,443,50640,0,0.007258176803588867
1494,17,443,50640,0,0.0009760856628417969
1494,17,443,50640,0,0.0
