2025-12-16 14:37:59,407 | ANOMALY | Size=938.0 | Proto=17.0 | SrcPort=64771.0 | DstPort=443.0 | IAT=0.055003
2025-12-16 14:37:59,407 | ANOMALY | Size=122.0 | Proto=17.0 | SrcPort=443.0 | DstPort=64771.0 | IAT=0.101001
2025-12-16 14:37:59,407 | ANOMALY | Size=71.0 | Proto=17.0 | SrcPort=61002.0 | DstPort=443.0 | IAT=0.548004
2025-12-16 14:37:59,408 | ANOMALY | Size=66.0 | Proto=6.0 | SrcPort=62664.0 | DstPort=443.0 | IAT=0.661004
2025-12-16 14:37:59,408 | ANOMALY | Size=1292.0 | Proto=17.0 | SrcPort=52982.0 | DstPort=443.0 | IAT=0.060003
2025-12-16 14:37:59,408 | ANOMALY | Size=647.0 | Proto=17.0 | SrcPort=443.0 | DstPort=52982.0 | IAT=0.125999
2025-12-16 14:37:59,409 | ANOMALY | Size=118.0 | Proto=6.0 | SrcPort=62667.0 | DstPort=443.0 | IAT=0.063002
2025-12-16 14:37:59,409 | ANOMALY | Size=146.0 | Proto=6.0 | SrcPort=62667.0 | DstPort=443.0 | IAT=0.051992
2025-12-16 14:37:59,409 | ANOMALY | Size=881.0 | Proto=17.0 | SrcPort=63802.0 | DstPort=443.0 | IAT=0.082988
2025-12-16 14:37:59,410 | ANOMALY | Size=752.0 | Proto=17.0 | SrcPort=55210.0 | DstPort=443.0 | IAT=0.038002
2025-12-16 14:37:59,410 | ANOMALY | Size=1008.0 | Proto=17.0 | SrcPort=63802.0 | DstPort=443.0 | IAT=0.189006
2025-12-16 14:37:59,410 | ANOMALY | Size=140.0 | Proto=6.0 | SrcPort=62664.0 | DstPort=443.0 | IAT=0.177001
2025-12-16 14:37:59,411 | ANOMALY | Size=1129.0 | Proto=17.0 | SrcPort=64201.0 | DstPort=443.0 | IAT=0.037000
2025-12-16 14:37:59,411 | ANOMALY | Size=66.0 | Proto=17.0 | SrcPort=443.0 | DstPort=53413.0 | IAT=0.145000
2025-12-16 14:37:59,411 | ANOMALY | Size=86.0 | Proto=17.0 | SrcPort=49763.0 | DstPort=53.0 | IAT=0.120003
2025-12-16 14:37:59,411 | ANOMALY | Size=1038.0 | Proto=6.0 | SrcPort=443.0 | DstPort=62683.0 | IAT=0.031000
2025-12-16 14:37:59,412 | ANOMALY | Size=311.0 | Proto=17.0 | SrcPort=49582.0 | DstPort=443.0 | IAT=0.051002
2025-12-16 14:37:59,412 | ANOMALY | Size=358.0 | Proto=17.0 | SrcPort=443.0 | DstPort=51763.0 | IAT=0.105994
2025-12-16 14:37:59,412 | ANOMALY | Size=66.0 | Proto=6.0 | SrcPort=62686.0 | DstPort=443.0 | IAT=0.065000
2025-12-16 14:37:59,412 | ANOMALY | Size=509.0 | Proto=17.0 | SrcPort=54014.0 | DstPort=443.0 | IAT=0.063001
2025-12-16 14:37:59,413 | ANOMALY | Size=90.0 | Proto=6.0 | SrcPort=61954.0 | DstPort=443.0 | IAT=0.282009
2025-12-16 14:37:59,413 | ANOMALY | Size=86.0 | Proto=6.0 | SrcPort=443.0 | DstPort=61954.0 | IAT=0.084991
